Entity,Code,Year,Cages (battery or enriched),Barn or aviary,Free range (non-organic),Free-range (organic),Unknown
Algeria,DZA,2013,100,0,0,0,0
Argentina,ARG,2018,89,8,3,0,0
Armenia,ARM,2013,100,0,0,0,0
Australia,AUS,2018,54.5,9.1,36.4,0,0
Austria,AUT,2018,0.8,64.4,23.5,11.7,0
Azerbaijan,AZE,2013,100,0,0,0,0
Bangladesh,BGD,2017,0,0,0,0,100
Belarus,BLR,2013,100,0,0,0,0
Belgium,BEL,2018,39.5,42.2,13.1,5.2,0
Brazil,BRA,2018,95,2.5,2.5,0,0
Brunei,BRN,2016,0,0,0,0,100
Bulgaria,BGR,2018,55.4,41.1,3.5,0,0
Canada,CAN,2018,87,9,1,3,0
Chile,CHL,2016,98,2,0,0,0
China,CHN,2018,97,0,3,0,0
Colombia,COL,2018,70,30,0,0,0
Croatia,HRV,2018,72.9,24.6,2.4,0.1,0
Cuba,CUB,2013,100,0,0,0,0
Cyprus,CYP,2018,71.3,15.1,11.4,2.2,0
Czechia,CZE,2018,83.3,15.7,0.6,0.4,0
Denmark,DNK,2018,16,46,8,30,0
Ecuador,ECU,2013,100,0,0,0,0
Egypt,EGY,2013,50,50,0,0,0
Estonia,EST,2018,81.7,8.1,4.9,5.3,0
Finland,FIN,2018,58,33,2,7,0
France,FRA,2018,61,8,21,10,0
Georgia,GEO,2013,100,0,0,0,0
Germany,DEU,2018,6.7,62.7,19.1,11.5,0
Ghana,GHA,2013,50,50,0,0,0
Hungary,HUN,2018,80.8,17.4,1.4,0.5,0
India,IND,2017,100,0,0,0,0
Indonesia,IDN,2017,0,0,0,0,100
Iran,IRN,2018,100,0,0,0,0
Ireland,IRL,2018,53,1,43,3,0
Italy,ITA,2018,54.5,35.3,4.6,5.6,0
Japan,JPN,2018,94.6,4.5,0.9,0,0
Kazakhstan,KAZ,2018,85,0,15,0,0
Kyrgyzstan,KGZ,2013,100,0,0,0,0
Latvia,LVA,2018,85.6,11.7,2.7,0.1,0
Libya,LBY,2013,100,0,0,0,0
Lithuania,LTU,2018,89.5,9.9,0.1,0.5,0
Luxembourg,LUX,2018,0,79,10.5,10.5,0
Malaysia,MYS,2017,0,0,0,0,100
Malta,MLT,2018,96.9,3.1,0,0,0
Mexico,MEX,2020,99.5,0.5,0,0,0
Morocco,MAR,2013,100,0,0,0,0
Netherlands,NLD,2018,11,61,20,8,0
New Zealand,NZL,2018,66.4,3,29.6,1,0
Nigeria,NGA,2017,70,30,0,0,0
Norway,NOR,2020,9,82,1.5,7.5,0
Pakistan,PAK,2017,0,0,0,0,100
Papua New Guinea,PNG,2016,0,0,0,0,100
Peru,PER,2018,93,5,1,1,0
Philippines,PHL,2017,0,0,0,0,100
Poland,POL,2018,88.3,9.1,2.4,0.2,0
Portugal,PRT,2018,90.5,6.5,2.5,0.5,0
Romania,ROU,2018,62,33.8,3.3,0.8,0
Russia,RUS,2018,99.9,0.1,0,0,0
Saudi Arabia,SAU,2016,0,0,0,0,100
Singapore,SGP,2016,0,0,0,0,100
Slovakia,SVK,2018,83,16,0.5,0.5,0
Slovenia,SVN,2018,42.2,39.1,16.3,2.4,0
South Africa,ZAF,2018,86,0,14,0,0
South Korea,KOR,2017,0,0,0,0,100
Spain,ESP,2019,77,13,9,1,0
Sweden,SWE,2018,8,72,4,16,0
Switzerland,CHE,2018,0,22.2,60.5,17.3,0
Taiwan,TWN,2016,0,0,0,0,100
Tajikistan,TJK,2013,100,0,0,0,0
Thailand,THA,2017,0,0,0,0,100
Turkey,TUR,2018,88,3,8,1,0
Turkmenistan,TKM,2013,100,0,0,0,0
Ukraine,UKR,2017,100,0,0,0,0
United Arab Emirates,ARE,2013,100,0,0,0,0
United Kingdom,GBR,2018,44.2,1.4,51.9,2.5,0
United States,USA,2020,76.4,17.8,0,5.8,0
Uruguay,URY,2016,88,12,0,0,0
Uzbekistan,UZB,2013,100,0,0,0,0
Venezuela,VEN,2013,100,0,0,0,0
Vietnam,VNM,2016,0,0,0,0,100
